Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh,Weather_Description,Work_Suitability,Flood_Risk
"Hazira, Gujarat",2024-04-03 22:07:55,32.45,43.38,1.40519717021102,19.46,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",2024-02-19 19:53:31,32.23,46.6,1.1234944722685123,20.84,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",2024-05-18 02:32:21,34.16,74.39,6.664136009247096,16.41,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",2024-01-24 12:04:12,31.89,66.93,9.027690729811445,19.69,Heavy Rainfall,No,High
"Bina, Madhya Pradesh",2024-03-03 11:02:14,26.94,42.37,1.328726429113336,21.04,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2024-04-03 12:07:38,28.67,53.07,4.669552853434745,15.1,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",2024-03-24 22:44:11,20.3,71.11,4.514322759604513,5.87,Moderate Rainfall,Yes,Low
"Kochi, Kerala",2024-04-05 13:22:42,25.37,93.54,6.792912658106635,8.1,Moderate Rainfall,Yes,High
"Kota, Rajasthan",2024-03-26 12:45:39,33.59,27.47,5.767120386880437,6.41,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2024-05-08 20:16:57,31.21,39.36,6.088405818629776,11.48,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",2024-02-10 22:46:21,33.4,41.22,7.113659331615052,17.82,Heavy Rainfall,No,Low
"Gandhar, Gujarat",2024-03-31 18:02:37,25.46,53.7,1.9760095400373368,12.99,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2024-03-15 00:09:26,25.81876555515251,56.58720204534033,2.8102420121675955,17.783903920322704,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",2024-03-27 22:42:17,-0.0719821207166546,57.84436962230707,6.440449130053189,20.61742321997501,Moderate Rainfall,Yes,Low
Delhi,2024-02-19 22:13:16,19.49970412322616,30.72690559260132,0.9612908844981384,9.214481930181073,Clear,Yes,Low
"Bengaluru, Karnataka",2024-03-15 01:56:40,23.03489274746097,61.83627506334304,5.984887195340792,23.052357805191907,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",2024-01-18 02:56:20,28.564152794528965,34.87164279146702,6.1368909669424445,22.281676940938635,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",2024-01-25 08:21:22,8.708564974702668,85.23464429492351,6.896760567685739,20.61685797283381,Moderate Rainfall,Yes,High
"Agra, Uttar Pradesh",2024-02-11 04:20:02,39.68529995692247,36.12414498914817,4.860976001533606,26.395245474694985,Moderate Rainfall,Yes,High
"Noida, Uttar Pradesh",2024-01-10 14:19:31,38.4747494282275,46.04406684437924,8.355548511066067,5.170237503370631,Heavy Rainfall,No,High
"Hazira, Gujarat",2024-05-06 17:55:33,35.79,40.88,7.589245087849536,5.77,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",2024-02-17 19:00:39,39.46,50.61,7.531080295174632,17.08,Heavy Rainfall,No,Low
"Kakinada, Andhra Pradesh",2024-02-05 12:16:34,37.28,62.49,2.0749944961575952,19.26,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",2024-03-05 19:08:19,20.39,64.35,0.2203415326659352,13.88,Clear,Yes,Low
"Bina, Madhya Pradesh",2024-02-06 19:02:21,20.12,52.72,3.673384684277388,20.46,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2024-02-27 23:17:08,22.19,54.5,8.17077309222166,10.57,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",2024-03-16 08:16:23,29.7,58.57,6.05131492505692,3.61,Moderate Rainfall,Yes,Low
"Kochi, Kerala",2024-05-04 06:50:04,28.78,77.54,4.983685023182924,7.55,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",2024-02-16 04:53:42,34.0,48.59,6.0410309223737695,10.06,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2024-04-13 01:17:16,32.44,38.71,8.64992078424789,24.51,Heavy Rainfall,No,High
"Indore, Madhya Pradesh",2024-01-06 19:12:46,37.28,50.61,4.580279154719444,16.7,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",2024-03-05 22:47:00,27.87,63.98,6.771009760241591,17.33,Moderate Rainfall,Yes,High
"Jamnagar, Gujarat",2024-01-18 07:59:09,32.77500795274025,78.27035012348057,2.17100595073937,0.6672368771225101,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",2024-01-15 12:05:00,-2.994002145606358,58.632105329977385,3.6988496370350807,20.08018361671389,Moderate Rainfall,Yes,Low
Delhi,2024-03-13 22:42:03,18.25073612073336,89.90912121622364,5.597309931064348,18.755325697130928,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",2024-04-15 13:57:07,-8.956553012686715,80.73161942998043,2.552757895318835,4.020764669095533,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",2024-01-22 01:57:10,15.80199893195277,51.62227630975775,1.2582713312945204,23.72235752221433,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",2024-04-04 23:04:10,20.32075670785193,65.54468591112806,1.9637321828267047,19.64002961332933,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",2024-04-25 01:43:53,-5.129359587366746,66.58527291986155,1.5540255084044996,9.958618675928095,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",2024-05-17 09:13:01,-3.089434137692084,58.55910058853885,5.329172080949381,20.474034757070022,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",2024-02-17 18:32:10,29.73,52.5,8.453786764050133,6.8,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",2024-02-17 00:26:18,35.63,48.94,7.893232502447037,27.0,Heavy Rainfall,No,High
"Kakinada, Andhra Pradesh",2024-03-06 21:37:08,29.62,62.71,0.0348623752324861,18.76,Other,Yes,Low
"Jagdishpur, Uttar Pradesh",2024-05-05 12:20:50,26.4,55.88,1.715967560965861,9.46,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",2024-02-02 10:25:50,29.8,39.56,2.753189783798715,18.03,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2024-04-30 06:09:27,34.55,37.12,1.8790236975215453,10.99,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",2024-04-03 08:14:36,27.39,45.17,5.163653940680058,3.91,Moderate Rainfall,Yes,Low
"Kochi, Kerala",2024-01-28 04:20:21,29.17,92.96,7.476354662822794,7.45,Heavy Rainfall,No,Low
"Kota, Rajasthan",2024-05-10 11:49:48,29.05,47.27,9.645094701887263,14.89,Heavy Rainfall,No,High
"Nagpur, Maharashtra",2024-04-16 20:54:49,24.97,53.73,4.183074541850931,12.27,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",2024-04-16 13:05:15,32.3,54.06,2.16063553831503,12.49,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",2024-01-22 20:21:51,32.06,52.5,5.010062451035671,12.67,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2024-01-05 03:41:22,34.36168343052322,39.63143165739236,6.322696187891488,15.452020631125812,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",2024-02-24 16:53:49,-8.248509048423882,58.04193535036711,4.204966178650295,8.19680013693725,Moderate Rainfall,Yes,Low
Delhi,2024-04-18 04:13:11,0.3280063717189723,82.21373172674475,2.5991949545363657,24.225841982017887,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",2024-02-26 05:58:53,15.808754461465906,34.913191868512726,0.7383846206363964,14.924872769912826,Clear,Yes,Low
"Chennai, Tamil Nadu",2024-03-10 06:11:19,18.522540618042104,82.75321578714093,4.054785916773773,1.9625163298158133,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",2024-03-15 01:15:24,-6.0956293165090845,54.08685741981847,1.5913490709322176,2.985199142552606,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",2024-02-17 09:34:47,16.94164686216356,52.75535247346011,5.813487823853772,11.802867947338688,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",2024-04-10 21:27:42,2.68943120711295,46.189693895617935,3.370443906388758,10.963422345469848,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",2024-01-14 23:48:23,32.7,63.73,9.980316288618011,7.47,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",2024-01-09 20:59:01,29.08,41.92,11.878246487386514,29.67,Heavy Rainfall,No,High
"Kakinada, Andhra Pradesh",2024-01-08 16:30:37,25.92,83.99,6.023869393285583,16.18,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",2024-02-16 05:35:00,30.4,58.56,0.6530207289335355,21.83,Clear,Yes,Low
"Bina, Madhya Pradesh",2024-01-18 08:48:30,36.02,34.22,4.297327573574048,21.02,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2024-02-02 02:53:49,31.56,48.4,13.98165647589061,18.85,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",2024-05-02 03:49:52,22.03,46.91,7.864779613547141,4.52,Heavy Rainfall,No,Low
"Kochi, Kerala",2024-02-03 02:14:44,31.04,81.88,0.2095205888790252,10.16,Clear,Yes,Low
"Kota, Rajasthan",2024-05-18 16:41:48,31.87,41.4,1.850579593647332,16.12,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2024-02-16 22:11:45,34.0,60.88,7.338217366648236,17.93,Heavy Rainfall,No,High
"Indore, Madhya Pradesh",2024-05-13 04:18:13,35.21,53.14,1.7230662306104116,12.96,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",2024-02-14 20:17:27,26.21,50.01,2.7333196732875886,12.68,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2024-02-11 10:16:30,18.718705488774088,67.43264234847229,2.072488126366434,7.483154530329824,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",2024-02-08 19:49:03,16.680030395148368,36.73655883958238,3.8555924102306607,3.3966314348653803,Moderate Rainfall,Yes,Low
Delhi,2024-02-01 13:10:06,36.56016747722671,72.45866912636276,7.95281781301769,9.95389557746551,Heavy Rainfall,No,High
"Bengaluru, Karnataka",2024-04-02 21:49:47,11.958938841628466,40.42690481475391,5.676112997417127,2.672287015144104,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",2024-04-27 17:15:55,30.18074557987729,60.32128531545969,9.058983910647802,7.082690988552722,Heavy Rainfall,No,High
"Raipur, Chhattisgarh",2024-05-05 17:05:20,-6.748872059709562,79.56149042634468,1.113297097628515,17.850764188536797,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",2024-05-16 04:17:36,-2.564242532157354,88.86662647425109,9.16343760648604,26.41474720749888,Heavy Rainfall,No,High
"Noida, Uttar Pradesh",2024-02-05 03:56:27,38.59503895096921,80.88425541751339,4.459529751407352,10.756647024021452,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",2024-04-08 18:01:05,25.02,64.72,7.730034258871762,14.95,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",2024-03-19 20:05:57,27.92,53.15,0.0320324845992259,15.0,Other,Yes,Low
"Kakinada, Andhra Pradesh",2024-03-14 09:43:19,31.84,60.72,8.837098631958574,16.5,Heavy Rainfall,No,High
"Jagdishpur, Uttar Pradesh",2024-05-17 08:02:26,23.6,68.42,7.691595885830065,13.76,Heavy Rainfall,No,High
"Bina, Madhya Pradesh",2024-04-09 01:55:23,30.73,36.0,4.722119744356041,17.5,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2024-01-18 11:27:16,30.97,50.36,3.2692002037169043,11.67,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",2024-02-12 02:07:03,28.37,52.92,8.630617033820588,5.76,Heavy Rainfall,No,High
"Kochi, Kerala",2024-04-21 12:26:03,31.47,74.36,0.5168616032272622,13.24,Other,Yes,Low
"Kota, Rajasthan",2024-03-05 02:38:00,31.57,36.17,9.27650775978698,18.66,Heavy Rainfall,No,High
"Nagpur, Maharashtra",2024-04-19 09:02:44,35.46,46.76,6.066320946994245,22.28,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",2024-01-22 06:07:42,26.05,30.68,5.82197737211815,10.11,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",2024-03-19 11:38:22,32.82,55.76,4.649643445932546,14.5,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2024-04-10 09:10:52,10.591182640778673,48.71721312291754,2.836441114429876,0.1260861446213157,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",2024-03-24 19:05:30,-8.370659764351403,63.08671031131108,1.558335066916664,6.21043270259224,Moderate Rainfall,Yes,Low
Delhi,2024-01-14 09:27:34,24.360242957119524,45.714208443276966,0.8039660717766872,29.609741668388622,Clear,Yes,Low
"Bengaluru, Karnataka",2024-04-13 16:14:39,5.763065333288012,61.448011392598026,1.2067120056516325,23.828556338580068,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",2024-04-27 19:12:45,-6.90531240131563,54.60398581092269,4.535152635973087,27.4797502744054,Moderate Rainfall,Yes,High
"Raipur, Chhattisgarh",2024-03-25 15:01:56,35.44085694558962,61.556715690863,0.9388016750251738,15.224278325603125,Clear,Yes,Low
"Agra, Uttar Pradesh",2024-01-06 22:05:28,9.942874361480769,42.80054562727276,7.634571184699892,22.86661470540176,Heavy Rainfall,No,Low
"Noida, Uttar Pradesh",2024-05-08 01:43:14,35.69775656550977,45.00774633236576,8.203738766467897,4.31819890503596,Heavy Rainfall,No,High
"Hazira, Gujarat",2024-03-04 11:07:57,25.87,50.03,3.5398037976375907,17.97,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",2024-02-08 04:48:09,24.27,44.9,2.0600926683042777,15.19,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",2024-01-06 22:07:38,32.2,78.99,7.985482718304409,28.22,Heavy Rainfall,No,Low
"Jagdishpur, Uttar Pradesh",2024-01-06 19:31:02,30.54,66.15,1.177652886011873,13.39,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",2024-03-18 09:31:04,34.22,44.68,2.164432408212802,17.75,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2024-03-28 01:25:26,24.93,55.02,3.5627636084256933,26.49,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",2024-04-13 08:56:48,17.2,68.68,3.560780905101951,9.62,Moderate Rainfall,Yes,Low
"Kochi, Kerala",2024-03-16 11:08:32,28.85,89.29,2.6985275617495805,8.85,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",2024-01-08 09:42:20,38.3,30.15,6.226384893786961,7.89,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2024-04-03 16:17:53,31.56,60.65,9.011731233850318,10.57,Heavy Rainfall,No,High
"Indore, Madhya Pradesh",2024-02-22 17:28:24,23.75,40.57,8.006805061013118,17.46,Heavy Rainfall,No,High
"Gandhar, Gujarat",2024-01-25 04:48:44,34.0,69.29,7.075503985561443,11.87,Heavy Rainfall,No,Low
"Jamnagar, Gujarat",2024-01-30 04:17:21,34.17542872002501,69.0305028875653,7.03203899468416,5.093592625138178,Heavy Rainfall,No,Low
"Mumbai, Maharashtra",2024-03-23 07:38:34,14.28877492121362,39.855593379657,9.51487681082084,28.64532314687118,Heavy Rainfall,No,High
Delhi,2024-05-03 07:53:08,-9.103733713960295,62.95922655185819,0.6463127335489438,1.6475638234172296,Clear,Yes,Low
"Bengaluru, Karnataka",2024-04-05 17:00:26,1.9280887024550808,47.21905430131933,0.6878092608471309,0.5946530778555292,Clear,Yes,Low
"Chennai, Tamil Nadu",2024-01-31 05:27:44,-9.639583416462402,45.49023334571009,1.6115695358050108,29.4338974735378,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",2024-03-23 03:10:20,-6.4518580911787655,38.80300873771128,0.4837123921181907,19.693074983679043,Clear,Yes,Low
"Agra, Uttar Pradesh",2024-01-01 01:19:08,22.058238433713026,79.17350843238799,2.3506739534117225,6.946438356175033,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",2024-01-16 07:06:04,38.5007289116013,49.02279710886971,6.101121028578273,20.181631856658143,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",2024-04-01 09:32:00,34.65,57.56,2.0404334427470783,17.39,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",2024-05-16 23:02:31,39.77,47.47,8.66827080333176,14.11,Heavy Rainfall,No,High
"Kakinada, Andhra Pradesh",2024-01-14 02:38:59,29.04,82.22,3.5747608766914563,26.71,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",2024-05-06 06:12:48,35.08,53.71,5.800791989435519,11.23,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",2024-03-29 22:29:52,21.97,51.96,2.135885782054312,14.57,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2024-05-12 11:47:40,23.26,50.01,5.49214475357533,27.97,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",2024-04-05 03:53:20,11.25,70.48,9.852598648764603,10.55,Heavy Rainfall,No,High
"Kochi, Kerala",2024-04-03 22:15:10,26.95,74.24,4.559155824950865,9.78,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",2024-01-21 06:29:46,37.8,33.97,6.6542364344241,17.61,Moderate Rainfall,Yes,High
"Nagpur, Maharashtra",2024-01-03 13:58:18,30.69,58.47,2.291670523648117,22.77,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",2024-03-23 15:43:21,35.9,30.84,2.464356877452698,11.99,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",2024-01-28 15:39:41,28.58,51.32,4.557164065388473,11.9,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2024-01-12 18:05:38,5.304322030554534,58.96354481278854,6.147167385344568,22.676920553837377,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",2024-02-19 08:52:39,3.63855461957122,46.17683847628371,3.22799965195462,5.376813682748027,Moderate Rainfall,Yes,Low
Delhi,2024-03-13 23:10:14,0.1165247713381418,55.497990187718585,2.988412687432432,29.68457691849573,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",2024-03-20 18:30:13,-3.4288366624410944,70.56687947000074,9.844360917818008,12.487624870458989,Heavy Rainfall,No,High
"Chennai, Tamil Nadu",2024-01-11 22:58:06,17.67991482088027,39.667008668000136,7.03711398675257,0.2218645823391873,Heavy Rainfall,No,Low
"Raipur, Chhattisgarh",2024-04-17 21:19:36,3.722745250868989,72.80249036234565,6.32016061808762,23.083023638982933,Moderate Rainfall,Yes,High
"Agra, Uttar Pradesh",2024-01-05 09:19:48,22.09741373067017,74.44662236920394,2.0748858545970994,5.112210295911488,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",2024-01-20 23:48:40,-2.8516909223134403,37.53787989384493,0.2627891047112074,28.417530445809,Clear,Yes,Low
"Hazira, Gujarat",2024-04-19 20:16:33,26.96,67.71,2.688971248226686,15.17,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",2024-04-27 04:03:46,33.2,59.55,1.8501460384471848,19.58,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",2024-03-09 01:20:06,37.59,69.81,2.6247812210217383,12.92,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",2024-02-11 03:12:43,31.55,45.32,1.1970635890674242,14.76,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",2024-01-11 10:27:07,22.33,53.69,4.259917495949477,15.8,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",2024-03-02 04:42:28,25.8,52.27,9.318876408782534,20.9,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",2024-02-16 07:39:33,20.75,74.71,0.939295773834492,10.64,Other,Yes,Low
"Kochi, Kerala",2024-01-09 23:53:33,30.68,71.21,9.845844341613525,5.87,Heavy Rainfall,No,High
"Kota, Rajasthan",2024-04-11 17:32:12,34.27,45.5,5.407238013794656,12.96,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2024-02-09 02:17:52,35.57,47.37,5.31158144410115,14.24,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",2024-02-23 14:13:45,23.37,34.03,0.2529191564484068,24.51,Other,Yes,Low
"Gandhar, Gujarat",2024-05-07 18:15:40,27.64,52.83,3.931055307328346,9.82,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2024-01-12 22:38:06,19.586851624749507,32.62039863094303,0.9655909521101969,6.287645612083555,Clear,Yes,Low
"Mumbai, Maharashtra",2024-02-14 23:55:55,24.12480772693074,67.12579587170974,3.748825083384805,8.624139012835805,Moderate Rainfall,Yes,Low
Delhi,2024-01-21 20:43:17,20.657818189958306,87.27192378768873,6.17126520260455,25.154531710723948,Moderate Rainfall,Yes,High
"Bengaluru, Karnataka",2024-02-02 08:09:56,22.490351628274706,65.66390296905621,3.4936878955856834,14.259830138434632,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",2024-05-07 07:20:25,11.098354408419825,87.16127133312041,4.279766626609197,2.381774670682489,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",2024-04-25 07:51:16,19.9411263320438,57.55440796962368,4.525554840907051,28.84292241623704,Moderate Rainfall,Yes,High
"Agra, Uttar Pradesh",2024-02-11 23:21:32,7.384055523987037,50.70041510283802,4.463576236124497,15.106852838287178,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",2024-05-11 12:00:20,36.438676886465785,33.61035470240314,8.80436597553688,27.50745744315395,Heavy Rainfall,No,High
"Hazira, Gujarat",2024-04-19 11:15:59,26.03,61.55,8.321605337807636,10.48,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",2024-01-17 20:29:58,20.94,42.26,5.718487371956792,26.52,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",2024-03-28 03:37:59,32.86,75.85,3.910135046843952,12.69,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",2024-01-26 04:30:25,25.93,56.28,6.604995963498085,19.07,Moderate Rainfall,Yes,High
"Bina, Madhya Pradesh",2024-03-25 03:34:16,20.96,30.96,6.897139490539214,20.87,Moderate Rainfall,Yes,High
"Bijaipur, Madhya Pradesh",2024-05-11 08:44:41,22.48,59.18,8.996857415858205,23.48,Heavy Rainfall,No,High
